IP,Time,URL,Status
19.94.49.214,[13/Apr/2019:00:00:00 +0300],/process.php?user=admin';--,404
71.30.121.59,[19/Jul/2020:00:00:00 +0500],/process.php?user=admin';--,302
26.151.238.198,[24/Feb/2019:00:00:00 +0800],"/view.php?id=2 UNION SELECT 1,2,3--",302
83.6.36.50,[03/Sep/2020:00:00:00 +0600],/search.php?q=example' AND 1=1--,200
78.228.41.159,[12/Jul/2019:00:00:00 +0900],/process.php?user=admin';--,200
108.132.92.127,[06/Sep/2019:00:00:00 +0500],/products.php?id=5; DROP TABLE users--,302
219.116.186.46,[25/Jan/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,404
120.197.170.164,[08/Apr/2020:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",200
4.17.92.12,[08/Aug/2020:00:00:00 +0800],/process.php?user=admin';--,200
125.20.19.140,[04/Oct/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,200
128.65.225.248,[18/Jan/2019:00:00:00 +0000],/login.php?id=1' or '1'='1,302
154.180.102.251,[29/Mar/2019:00:00:00 +0100],/login.php?id=1' or '1'='1,200
155.105.72.126,[14/Jan/2019:00:00:00 +0900],/search.php?q=example' AND 1=1--,302
86.162.154.11,[22/Apr/2020:00:00:00 +0700],/login.php?id=1' or '1'='1,404
93.91.186.197,[10/Jun/2019:00:00:00 +0100],"/view.php?id=2 UNION SELECT 1,2,3--",302
245.254.236.33,[07/Apr/2019:00:00:00 +0000],/process.php?user=admin';--,404
223.144.90.39,[05/Oct/2020:00:00:00 +0600],/search.php?q=example' AND 1=1--,302
97.250.236.15,[04/Nov/2020:00:00:00 +0200],/products.php?id=5; DROP TABLE users--,200
85.133.80.56,[15/May/2020:00:00:00 +0400],/search.php?q=example' AND 1=1--,302
130.218.161.94,[11/Mar/2020:00:00:00 +0600],"/view.php?id=2 UNION SELECT 1,2,3--",404
60.173.59.71,[25/Apr/2019:00:00:00 +0300],/products.php?id=5; DROP TABLE users--,404
200.154.34.18,[04/Dec/2020:00:00:00 +0400],/login.php?id=1' or '1'='1,302
218.38.129.102,[04/Mar/2020:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,200
17.23.41.251,[04/May/2019:00:00:00 +0800],"/view.php?id=2 UNION SELECT 1,2,3--",200
251.225.37.167,[14/May/2020:00:00:00 +0800],/login.php?id=1' or '1'='1,200
243.231.205.137,[02/Mar/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,302
195.246.153.161,[21/Jun/2020:00:00:00 +0300],/process.php?user=admin';--,404
28.91.132.37,[15/Jun/2020:00:00:00 +0300],"/view.php?id=2 UNION SELECT 1,2,3--",200
221.205.158.137,[19/Jan/2019:00:00:00 +0600],"/view.php?id=2 UNION SELECT 1,2,3--",404
162.127.149.71,[21/Mar/2019:00:00:00 +0100],/products.php?id=5; DROP TABLE users--,302
18.137.61.32,[29/Aug/2019:00:00:00 +0100],"/view.php?id=2 UNION SELECT 1,2,3--",404
76.237.97.45,[19/Jul/2019:00:00:00 +0200],/products.php?id=5; DROP TABLE users--,302
140.116.112.9,[25/Dec/2019:00:00:00 +0000],/search.php?q=example' AND 1=1--,200
111.151.181.224,[23/Jan/2020:00:00:00 +0600],/login.php?id=1' or '1'='1,404
102.142.76.170,[26/Mar/2020:00:00:00 +0800],/search.php?q=example' AND 1=1--,302
20.15.85.148,[26/Dec/2020:00:00:00 +0300],"/view.php?id=2 UNION SELECT 1,2,3--",302
19.208.168.133,[20/May/2019:00:00:00 +0600],/search.php?q=example' AND 1=1--,404
68.242.5.28,[14/Aug/2020:00:00:00 +0400],/process.php?user=admin';--,404
242.72.248.119,[18/Mar/2020:00:00:00 +0500],/login.php?id=1' or '1'='1,404
250.26.116.53,[28/Nov/2020:00:00:00 +0100],/process.php?user=admin';--,200
120.169.229.241,[12/May/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,302
189.160.186.23,[08/Nov/2019:00:00:00 +0600],/search.php?q=example' AND 1=1--,200
113.177.236.63,[16/Sep/2019:00:00:00 +0800],/login.php?id=1' or '1'='1,302
131.244.178.146,[14/Sep/2019:00:00:00 +0500],"/view.php?id=2 UNION SELECT 1,2,3--",404
83.9.163.190,[24/Apr/2020:00:00:00 +0300],/process.php?user=admin';--,404
212.113.79.53,[04/Apr/2019:00:00:00 +0900],"/view.php?id=2 UNION SELECT 1,2,3--",200
98.242.180.204,[20/Nov/2020:00:00:00 +0600],/search.php?q=example' AND 1=1--,302
100.195.41.169,[05/Jun/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,302
183.110.103.113,[28/Feb/2020:00:00:00 +0600],/login.php?id=1' or '1'='1,302
236.80.248.203,[25/Apr/2020:00:00:00 +0100],"/view.php?id=2 UNION SELECT 1,2,3--",404
218.203.80.101,[04/Aug/2020:00:00:00 +0100],/products.php?id=5; DROP TABLE users--,200
250.65.206.147,[25/Mar/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,302
90.203.2.102,[15/Mar/2020:00:00:00 +0300],"/view.php?id=2 UNION SELECT 1,2,3--",200
170.95.116.204,[27/Dec/2020:00:00:00 +0500],/products.php?id=5; DROP TABLE users--,200
111.68.244.220,[02/Feb/2019:00:00:00 +0400],/login.php?id=1' or '1'='1,404
220.32.32.38,[30/Oct/2019:00:00:00 +0600],/login.php?id=1' or '1'='1,404
56.137.154.95,[24/Oct/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,404
113.156.181.244,[25/Oct/2019:00:00:00 +0600],"/view.php?id=2 UNION SELECT 1,2,3--",302
158.101.18.106,[17/Jul/2020:00:00:00 +0800],/process.php?user=admin';--,404
204.165.94.69,[09/Jul/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,302
215.188.61.29,[27/May/2019:00:00:00 +0000],/login.php?id=1' or '1'='1,302
25.116.206.250,[26/Feb/2019:00:00:00 +0900],/process.php?user=admin';--,404
102.62.207.22,[01/May/2020:00:00:00 +0700],/login.php?id=1' or '1'='1,404
118.225.136.62,[11/May/2019:00:00:00 +0400],/process.php?user=admin';--,302
251.86.80.44,[22/Mar/2019:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",404
24.87.189.30,[02/Jan/2019:00:00:00 +0200],/search.php?q=example' AND 1=1--,200
92.1.43.59,[14/May/2019:00:00:00 +0800],"/view.php?id=2 UNION SELECT 1,2,3--",404
172.60.52.40,[18/Jul/2019:00:00:00 +0400],/process.php?user=admin';--,404
43.56.224.54,[15/Dec/2019:00:00:00 +0200],/products.php?id=5; DROP TABLE users--,302
132.48.34.160,[12/Aug/2019:00:00:00 +0700],/process.php?user=admin';--,302
128.234.209.99,[12/Jun/2020:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",200
243.26.105.214,[27/Sep/2020:00:00:00 +0200],/login.php?id=1' or '1'='1,404
128.227.1.202,[17/Jan/2020:00:00:00 +0700],/process.php?user=admin';--,404
58.171.249.38,[02/Jan/2019:00:00:00 +0500],/process.php?user=admin';--,200
70.178.212.92,[05/Apr/2019:00:00:00 +0800],"/view.php?id=2 UNION SELECT 1,2,3--",200
17.82.28.65,[30/Dec/2020:00:00:00 +0400],/login.php?id=1' or '1'='1,302
104.220.121.96,[12/Jul/2019:00:00:00 +0300],/login.php?id=1' or '1'='1,302
105.168.191.215,[28/Feb/2019:00:00:00 +0700],/process.php?user=admin';--,200
61.58.90.103,[23/Jun/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,302
114.224.69.26,[25/Feb/2020:00:00:00 +0200],/login.php?id=1' or '1'='1,200
136.30.249.75,[04/Oct/2019:00:00:00 +0700],"/view.php?id=2 UNION SELECT 1,2,3--",302
98.235.47.32,[22/Feb/2019:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",404
142.117.10.92,[17/Aug/2019:00:00:00 +0100],/search.php?q=example' AND 1=1--,404
45.172.206.25,[22/Jul/2019:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",302
166.63.30.55,[27/Mar/2019:00:00:00 +0000],/search.php?q=example' AND 1=1--,200
56.130.174.132,[04/Jan/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,200
211.189.120.205,[03/Nov/2020:00:00:00 +0900],"/view.php?id=2 UNION SELECT 1,2,3--",404
214.123.16.83,[30/Mar/2019:00:00:00 +0500],/products.php?id=5; DROP TABLE users--,404
142.30.171.225,[16/Nov/2019:00:00:00 +0900],/login.php?id=1' or '1'='1,404
48.190.216.124,[07/Aug/2019:00:00:00 +0700],/process.php?user=admin';--,404
19.113.44.142,[05/Jul/2019:00:00:00 +0500],/search.php?q=example' AND 1=1--,302
80.51.15.132,[16/Feb/2019:00:00:00 +0000],/search.php?q=example' AND 1=1--,200
210.39.231.145,[13/Mar/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,302
126.86.157.175,[22/May/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,404
13.170.85.75,[08/Sep/2020:00:00:00 +0000],/login.php?id=1' or '1'='1,200
235.193.9.170,[08/Apr/2019:00:00:00 +0700],/process.php?user=admin';--,404
41.213.229.50,[04/Jun/2019:00:00:00 +0700],/search.php?q=example' AND 1=1--,302
185.115.245.91,[01/Aug/2020:00:00:00 +0400],/products.php?id=5; DROP TABLE users--,200
1.100.79.82,[03/Sep/2019:00:00:00 +0000],/process.php?user=admin';--,302
185.35.163.151,[20/Jul/2019:00:00:00 +0100],/products.php?id=5; DROP TABLE users--,200
86.20.118.100,[17/Sep/2019:00:00:00 +0200],/login.php?id=1' or '1'='1,302
83.190.58.115,[21/Mar/2019:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,302
162.180.65.202,[24/Aug/2019:00:00:00 +0900],/search.php?q=example' AND 1=1--,302
26.15.123.243,[31/Mar/2019:00:00:00 +0900],/search.php?q=example' AND 1=1--,404
104.24.131.240,[07/Feb/2019:00:00:00 +0600],/products.php?id=5; DROP TABLE users--,404
165.123.215.165,[27/Aug/2020:00:00:00 +0400],/process.php?user=admin';--,200
146.34.21.229,[19/Aug/2019:00:00:00 +0300],/login.php?id=1' or '1'='1,200
169.210.89.5,[06/Oct/2019:00:00:00 +0100],/products.php?id=5; DROP TABLE users--,200
183.145.76.119,[27/Oct/2019:00:00:00 +0600],/login.php?id=1' or '1'='1,404
242.67.35.219,[12/Jul/2020:00:00:00 +0100],/search.php?q=example' AND 1=1--,302
73.186.119.241,[12/Jan/2019:00:00:00 +0800],/login.php?id=1' or '1'='1,404
150.2.12.22,[25/May/2019:00:00:00 +0800],/process.php?user=admin';--,200
212.239.224.194,[08/Sep/2020:00:00:00 +0900],/process.php?user=admin';--,302
245.254.93.92,[08/Oct/2020:00:00:00 +0200],"/view.php?id=2 UNION SELECT 1,2,3--",200
170.10.68.205,[27/Sep/2020:00:00:00 +0100],"/view.php?id=2 UNION SELECT 1,2,3--",302
164.59.67.65,[05/Aug/2020:00:00:00 +0000],/products.php?id=5; DROP TABLE users--,404
244.59.22.78,[19/Mar/2019:00:00:00 +0900],/login.php?id=1' or '1'='1,404
243.247.159.223,[05/May/2020:00:00:00 +0600],"/view.php?id=2 UNION SELECT 1,2,3--",404
144.10.113.34,[28/Feb/2020:00:00:00 +0300],/products.php?id=5; DROP TABLE users--,302
198.184.152.207,[27/Dec/2020:00:00:00 +0400],/products.php?id=5; DROP TABLE users--,404
219.231.200.77,[16/Oct/2019:00:00:00 +0500],/search.php?q=example' AND 1=1--,404
64.185.28.168,[17/Jan/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,404
241.225.73.90,[27/Mar/2020:00:00:00 +0200],/process.php?user=admin';--,404
3.201.146.222,[16/Oct/2019:00:00:00 +0300],/search.php?q=example' AND 1=1--,404
246.8.238.82,[13/Oct/2020:00:00:00 +0500],/login.php?id=1' or '1'='1,200
134.38.115.48,[29/Nov/2019:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,200
213.50.201.129,[12/Apr/2020:00:00:00 +0200],/login.php?id=1' or '1'='1,404
7.199.37.189,[18/Dec/2020:00:00:00 +0300],/search.php?q=example' AND 1=1--,200
43.201.95.9,[20/Apr/2020:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",404
83.160.192.144,[22/May/2019:00:00:00 +0500],/process.php?user=admin';--,302
220.139.246.82,[29/Jun/2019:00:00:00 +0200],/search.php?q=example' AND 1=1--,404
241.117.26.26,[16/Nov/2019:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",200
160.56.119.221,[13/Mar/2019:00:00:00 +0200],/login.php?id=1' or '1'='1,404
31.231.140.238,[26/Feb/2019:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,404
136.163.238.220,[16/Mar/2019:00:00:00 +0700],/login.php?id=1' or '1'='1,302
214.129.183.198,[26/Aug/2020:00:00:00 +0800],/login.php?id=1' or '1'='1,200
187.206.223.246,[20/Jan/2019:00:00:00 +0400],/products.php?id=5; DROP TABLE users--,404
81.212.115.82,[24/Dec/2019:00:00:00 +0800],/process.php?user=admin';--,404
94.250.153.69,[01/Mar/2020:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,404
201.57.180.143,[01/Apr/2020:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",404
181.34.30.216,[22/Sep/2020:00:00:00 +0700],/login.php?id=1' or '1'='1,302
106.183.70.42,[19/Jan/2020:00:00:00 +0400],/process.php?user=admin';--,404
163.94.192.216,[01/Sep/2019:00:00:00 +0000],/search.php?q=example' AND 1=1--,404
137.201.109.83,[01/Dec/2020:00:00:00 +0000],/process.php?user=admin';--,302
8.89.30.137,[29/Dec/2019:00:00:00 +0800],"/view.php?id=2 UNION SELECT 1,2,3--",200
78.175.190.6,[11/Aug/2020:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,404
95.54.158.115,[29/Feb/2020:00:00:00 +0300],/process.php?user=admin';--,302
240.8.14.12,[05/Jan/2020:00:00:00 +0400],/process.php?user=admin';--,302
121.47.202.63,[05/Jul/2019:00:00:00 +0200],/login.php?id=1' or '1'='1,404
223.27.236.186,[26/Feb/2020:00:00:00 +0200],/process.php?user=admin';--,404
111.52.63.3,[01/Jan/2020:00:00:00 +0500],/login.php?id=1' or '1'='1,200
95.184.37.171,[13/Jun/2020:00:00:00 +0500],"/view.php?id=2 UNION SELECT 1,2,3--",404
200.42.180.165,[24/Jun/2019:00:00:00 +0200],/login.php?id=1' or '1'='1,200
9.145.1.22,[08/Jun/2019:00:00:00 +0800],/search.php?q=example' AND 1=1--,404
229.209.192.58,[15/Aug/2019:00:00:00 +0600],/login.php?id=1' or '1'='1,404
8.120.98.26,[23/Aug/2019:00:00:00 +0700],/process.php?user=admin';--,404
33.26.116.249,[30/May/2019:00:00:00 +0200],"/view.php?id=2 UNION SELECT 1,2,3--",200
55.204.127.80,[09/Jun/2020:00:00:00 +0300],/products.php?id=5; DROP TABLE users--,404
69.9.54.63,[15/Dec/2019:00:00:00 +0400],/login.php?id=1' or '1'='1,200
157.241.109.230,[01/Feb/2019:00:00:00 +0900],"/view.php?id=2 UNION SELECT 1,2,3--",200
94.184.111.152,[02/May/2019:00:00:00 +0100],"/view.php?id=2 UNION SELECT 1,2,3--",302
135.96.44.39,[17/Nov/2020:00:00:00 +0700],/login.php?id=1' or '1'='1,200
48.162.118.190,[21/Jul/2019:00:00:00 +0600],/products.php?id=5; DROP TABLE users--,404
101.225.11.174,[11/Apr/2019:00:00:00 +0900],"/view.php?id=2 UNION SELECT 1,2,3--",200
59.187.61.95,[16/May/2019:00:00:00 +0000],/process.php?user=admin';--,404
19.29.151.97,[28/Nov/2019:00:00:00 +0700],/search.php?q=example' AND 1=1--,404
171.19.96.106,[12/Apr/2019:00:00:00 +0500],"/view.php?id=2 UNION SELECT 1,2,3--",302
12.207.42.43,[11/Feb/2019:00:00:00 +0100],/search.php?q=example' AND 1=1--,404
152.159.242.31,[09/Mar/2019:00:00:00 +0700],/search.php?q=example' AND 1=1--,200
82.233.162.127,[19/Jul/2019:00:00:00 +0000],/process.php?user=admin';--,302
234.196.143.106,[20/Oct/2019:00:00:00 +0200],"/view.php?id=2 UNION SELECT 1,2,3--",302
219.141.168.6,[03/Sep/2019:00:00:00 +0300],/search.php?q=example' AND 1=1--,302
11.88.41.242,[18/Apr/2020:00:00:00 +0400],/products.php?id=5; DROP TABLE users--,404
228.27.76.116,[24/Apr/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,404
77.136.175.231,[26/Aug/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,404
174.97.79.39,[24/Jan/2019:00:00:00 +0300],/products.php?id=5; DROP TABLE users--,404
147.27.93.221,[14/Aug/2020:00:00:00 +0500],/login.php?id=1' or '1'='1,404
12.2.83.210,[23/Apr/2019:00:00:00 +0900],/search.php?q=example' AND 1=1--,200
134.39.83.25,[29/Jul/2020:00:00:00 +0400],/login.php?id=1' or '1'='1,302
112.215.184.169,[18/Aug/2019:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",404
178.97.159.163,[13/Jan/2020:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,302
34.176.148.207,[05/Dec/2019:00:00:00 +0400],/login.php?id=1' or '1'='1,302
96.155.213.22,[03/Nov/2020:00:00:00 +0300],/login.php?id=1' or '1'='1,404
48.151.255.66,[16/Mar/2019:00:00:00 +0300],/search.php?q=example' AND 1=1--,404
37.17.95.135,[21/Jul/2020:00:00:00 +0400],/process.php?user=admin';--,200
24.204.178.252,[15/Jul/2020:00:00:00 +0600],/login.php?id=1' or '1'='1,404
68.88.22.93,[03/Jul/2019:00:00:00 +0500],/login.php?id=1' or '1'='1,200
56.194.245.58,[23/Mar/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,200
236.243.52.30,[23/Aug/2020:00:00:00 +0000],/login.php?id=1' or '1'='1,404
128.251.158.151,[03/Mar/2020:00:00:00 +0100],/products.php?id=5; DROP TABLE users--,200
57.15.63.221,[07/Aug/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,200
8.120.249.167,[26/Jun/2020:00:00:00 +0800],/login.php?id=1' or '1'='1,302
206.154.123.55,[10/May/2020:00:00:00 +0300],"/view.php?id=2 UNION SELECT 1,2,3--",404
198.220.124.5,[23/Jun/2020:00:00:00 +0000],/login.php?id=1' or '1'='1,302
210.249.157.89,[19/Jul/2019:00:00:00 +0300],/search.php?q=example' AND 1=1--,302
49.146.226.2,[30/Jan/2020:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",200
63.30.153.123,[06/Sep/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,302
209.51.67.201,[05/Jun/2019:00:00:00 +0000],/process.php?user=admin';--,200
204.151.207.236,[20/Mar/2019:00:00:00 +0500],/products.php?id=5; DROP TABLE users--,302
183.15.164.53,[11/Jul/2019:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",200
50.66.251.49,[24/Aug/2019:00:00:00 +0000],/products.php?id=5; DROP TABLE users--,200
41.72.198.7,[10/Jan/2019:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,200
178.163.111.243,[12/Apr/2019:00:00:00 +0500],"/view.php?id=2 UNION SELECT 1,2,3--",302
32.1.130.223,[30/Oct/2020:00:00:00 +0500],/process.php?user=admin';--,302
245.102.64.180,[06/Oct/2019:00:00:00 +0700],/process.php?user=admin';--,404
119.201.226.138,[23/Mar/2020:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,302
185.63.245.152,[27/Nov/2019:00:00:00 +0400],/login.php?id=1' or '1'='1,404
162.123.74.179,[14/Dec/2019:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,200
207.219.118.117,[21/Nov/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,404
217.40.13.208,[16/Dec/2019:00:00:00 +0500],/login.php?id=1' or '1'='1,302
135.206.205.12,[06/Jul/2019:00:00:00 +0800],/search.php?q=example' AND 1=1--,404
166.46.232.215,[13/Oct/2019:00:00:00 +0100],/process.php?user=admin';--,404
248.107.42.146,[04/Jul/2019:00:00:00 +0400],/login.php?id=1' or '1'='1,200
137.45.245.140,[12/Jan/2020:00:00:00 +0300],/login.php?id=1' or '1'='1,200
140.129.221.6,[01/Dec/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,200
123.123.21.144,[22/Dec/2019:00:00:00 +0500],/products.php?id=5; DROP TABLE users--,404
84.251.184.76,[10/Dec/2019:00:00:00 +0500],"/view.php?id=2 UNION SELECT 1,2,3--",302
164.75.141.87,[13/Sep/2020:00:00:00 +0600],/products.php?id=5; DROP TABLE users--,404
110.153.71.219,[30/Sep/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,200
88.209.189.66,[10/Dec/2019:00:00:00 +0600],/products.php?id=5; DROP TABLE users--,404
225.193.98.192,[26/Aug/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,404
137.120.18.110,[06/Mar/2019:00:00:00 +0700],/login.php?id=1' or '1'='1,200
39.205.245.89,[11/May/2020:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,404
104.101.108.61,[09/Nov/2020:00:00:00 +0100],/search.php?q=example' AND 1=1--,302
82.41.90.179,[22/Apr/2019:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,302
95.4.252.197,[15/Jun/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,404
184.60.244.107,[15/Feb/2020:00:00:00 +0600],/login.php?id=1' or '1'='1,404
195.118.43.155,[03/Jun/2019:00:00:00 +0700],/login.php?id=1' or '1'='1,302
72.59.85.224,[25/May/2020:00:00:00 +0200],/search.php?q=example' AND 1=1--,404
41.96.212.207,[25/Nov/2019:00:00:00 +0000],/login.php?id=1' or '1'='1,404
67.166.20.184,[28/Aug/2019:00:00:00 +0500],/login.php?id=1' or '1'='1,404
195.58.174.94,[06/Mar/2019:00:00:00 +0200],/login.php?id=1' or '1'='1,302
92.230.40.181,[29/Feb/2020:00:00:00 +0700],/login.php?id=1' or '1'='1,302
219.244.123.221,[16/Aug/2020:00:00:00 +0700],/process.php?user=admin';--,404
236.241.61.80,[11/Oct/2020:00:00:00 +0000],"/view.php?id=2 UNION SELECT 1,2,3--",200
117.30.85.238,[10/Jul/2020:00:00:00 +0600],/process.php?user=admin';--,302
157.58.22.130,[14/Mar/2019:00:00:00 +0200],/login.php?id=1' or '1'='1,302
13.50.230.136,[06/Sep/2019:00:00:00 +0900],/search.php?q=example' AND 1=1--,302
58.11.231.88,[03/Jan/2019:00:00:00 +0600],/products.php?id=5; DROP TABLE users--,302
37.202.132.102,[26/May/2020:00:00:00 +0900],/products.php?id=5; DROP TABLE users--,302
113.176.76.117,[12/Mar/2020:00:00:00 +0900],/process.php?user=admin';--,404
216.163.228.175,[29/Sep/2020:00:00:00 +0800],"/view.php?id=2 UNION SELECT 1,2,3--",302
146.218.18.84,[23/Jul/2019:00:00:00 +0800],/login.php?id=1' or '1'='1,404
197.199.5.202,[02/Oct/2019:00:00:00 +0100],/login.php?id=1' or '1'='1,200
75.135.162.76,[12/Jul/2019:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",302
14.65.231.87,[14/Sep/2020:00:00:00 +0600],/login.php?id=1' or '1'='1,200
66.25.127.168,[16/Apr/2020:00:00:00 +0000],/products.php?id=5; DROP TABLE users--,200
166.19.28.222,[30/Oct/2019:00:00:00 +0100],/search.php?q=example' AND 1=1--,404
58.78.255.244,[19/Aug/2020:00:00:00 +0800],/search.php?q=example' AND 1=1--,404
97.242.32.138,[25/Mar/2020:00:00:00 +0200],/process.php?user=admin';--,200
90.1.42.36,[10/Oct/2019:00:00:00 +0000],/login.php?id=1' or '1'='1,404
156.173.29.185,[04/Dec/2020:00:00:00 +0500],/search.php?q=example' AND 1=1--,404
129.7.14.227,[19/Apr/2020:00:00:00 +0400],/search.php?q=example' AND 1=1--,200
175.22.158.184,[29/May/2020:00:00:00 +0400],/search.php?q=example' AND 1=1--,302
110.159.156.74,[01/Feb/2020:00:00:00 +0300],"/view.php?id=2 UNION SELECT 1,2,3--",200
124.165.106.189,[03/Mar/2019:00:00:00 +0700],/products.php?id=5; DROP TABLE users--,302
82.242.214.161,[02/Feb/2020:00:00:00 +0400],"/view.php?id=2 UNION SELECT 1,2,3--",404
223.189.222.109,[15/Feb/2019:00:00:00 +0900],/process.php?user=admin';--,200
224.228.102.60,[03/Apr/2019:00:00:00 +0800],/login.php?id=1' or '1'='1,200
57.54.20.184,[07/Oct/2019:00:00:00 +0500],/process.php?user=admin';--,200
180.130.79.160,[21/Feb/2020:00:00:00 +0200],/process.php?user=admin';--,200
223.33.76.109,[10/Oct/2019:00:00:00 +0200],/search.php?q=example' AND 1=1--,200
91.191.95.140,[27/Apr/2020:00:00:00 +0500],/products.php?id=5; DROP TABLE users--,404
131.39.250.225,[01/Jul/2019:00:00:00 +0800],/search.php?q=example' AND 1=1--,200
239.184.173.205,[02/Mar/2019:00:00:00 +0100],/search.php?q=example' AND 1=1--,302
3.112.159.181,[16/Jan/2019:00:00:00 +0900],/process.php?user=admin';--,302
148.138.48.52,[05/Nov/2020:00:00:00 +0800],/products.php?id=5; DROP TABLE users--,302
1.38.34.197,[11/Jan/2020:00:00:00 +0100],/login.php?id=1' or '1'='1,404
249.8.140.233,[23/Jul/2020:00:00:00 +0400],/login.php?id=1' or '1'='1,200
108.74.87.100,[24/May/2019:00:00:00 +0100],/products.php?id=5; DROP TABLE users--,404
