IP,Time,URL,Status
10.153.189.182,[16/Feb/2018:21:55:11,POST /data/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.21.241.63,[12/Jan/2018:16:08:17,GET /files/files/files/files/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.232.245.4,[13/Jan/2018:12:37:39,POST /docs/user/home/files/?id=1; UNION FROM users;-- HTTP/1.1,404
10.17.89.236,[18/Feb/2018:16:04:20,GET /home/user/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.8.62.80,[14/Feb/2018:19:57:31,GET /files/files/docs/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.189.95.55,[12/Mar/2018:15:13:26,GET /home/files/files/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.132.167.94,[22/Jan/2018:01:10:10,POST /home/files/user/home/?id=1; DROP FROM users;-- HTTP/1.1,404
10.73.79.178,[26/Jan/2018:05:45:47,POST /files/docs/docs/?id=1; UNION FROM users;-- HTTP/1.1,200
10.119.50.110,[24/Jan/2018:21:10:06,POST /files/files/?id=1; DROP FROM users;-- HTTP/1.1,404
10.178.128.236,[25/Jan/2018:10:33:34,POST /home/files/user/?id=1; DROP FROM users;-- HTTP/1.1,302
10.142.104.157,[13/Mar/2018:15:00:26,POST /docs/files/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.119.213.176,[20/Nov/2017:12:10:29,GET /docs/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.19.212.76,[11/Mar/2018:15:23:20,GET /files/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.110.224.148,[27/Feb/2018:05:54:51,GET /home/user/data/?id=1; UNION FROM users;-- HTTP/1.1,200
10.134.221.175,[21/Dec/2017:20:43:27,GET /files/docs/?id=1; UNION FROM users;-- HTTP/1.1,302
10.204.167.172,[17/Jan/2018:05:15:31,POST /home/docs/files/home/?id=1; DROP FROM users;-- HTTP/1.1,200
10.241.218.102,[12/Jan/2018:03:57:26,POST /files/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.213.214.17,[07/Mar/2018:11:35:23,GET /data/user/files/?id=1; UNION FROM users;-- HTTP/1.1,302
10.148.97.207,[29/Dec/2017:01:31:16,GET /data/user/home/user/?id=1; DROP FROM users;-- HTTP/1.1,200
10.194.78.100,[03/Dec/2017:10:32:02,POST /user/home/user/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.239.131.254,[23/Dec/2017:11:46:57,POST /files/?id=1; UNION FROM users;-- HTTP/1.1,302
10.242.95.71,[05/Dec/2017:00:22:54,GET /user/?id=1; UNION FROM users;-- HTTP/1.1,404
10.253.98.224,[21/Jan/2018:14:16:51,GET /home/user/data/home/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.5.207.197,[20/Dec/2017:20:25:53,POST /docs/files/docs/user/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.244.93.248,[26/Dec/2017:17:53:31,POST /files/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.165.239.179,[03/Dec/2017:21:48:59,POST /docs/data/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.191.84.203,[15/Nov/2017:22:51:02,POST /docs/data/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.142.68.98,[10/Mar/2018:00:42:59,GET /home/user/home/home/?id=1; DROP FROM users;-- HTTP/1.1,404
10.251.143.31,[23/Dec/2017:01:06:05,POST /docs/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.68.162.90,[22/Feb/2018:16:46:50,POST /home/data/data/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.244.187.170,[16/Mar/2018:21:19:34,POST /home/?id=1; UNION FROM users;-- HTTP/1.1,200
10.40.52.138,[25/Nov/2017:00:37:41,POST /docs/docs/home/files/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.38.128.67,[13/Mar/2018:16:04:33,GET /docs/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.76.106.53,[26/Dec/2017:14:57:43,POST /home/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.208.74.136,[07/Nov/2017:03:24:02,POST /files/data/home/user/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.247.39.29,[24/Mar/2018:16:24:37,GET /data/data/user/home/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.245.90.159,[01/Jan/2018:10:07:03,GET /docs/home/?id=1; DROP FROM users;-- HTTP/1.1,200
10.75.224.20,[10/Dec/2017:03:36:58,GET /files/user/?id=1; UNION FROM users;-- HTTP/1.1,404
10.117.126.238,[13/Dec/2017:23:25:18,GET /docs/files/?id=1; DROP FROM users;-- HTTP/1.1,404
10.89.54.91,[01/Jan/2018:19:57:13,POST /home/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.93.36.59,[27/Feb/2018:19:46:19,POST /home/data/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.166.203.53,[02/Nov/2017:12:13:40,GET /files/user/user/data/?id=1; UNION FROM users;-- HTTP/1.1,200
10.251.16.109,[02/Dec/2017:17:11:32,GET /home/user/home/home/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.221.184.123,[15/Feb/2018:02:28:38,GET /data/files/data/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.249.73.117,[07/Dec/2017:15:22:01,GET /user/user/files/?id=1; DROP FROM users;-- HTTP/1.1,200
10.136.252.152,[30/Jan/2018:05:36:57,GET /files/user/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.25.1.50,[06/Dec/2017:17:30:09,POST /files/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.10.236.142,[24/Mar/2018:10:07:01,POST /files/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.212.201.229,[24/Mar/2018:04:50:14,POST /files/docs/files/home/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.34.2.94,[01/Nov/2017:01:27:50,POST /docs/docs/files/docs/?id=1; DROP FROM users;-- HTTP/1.1,302
10.219.252.188,[10/Mar/2018:02:25:26,GET /files/docs/user/home/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.242.199.163,[25/Feb/2018:01:03:21,GET /files/data/home/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.17.223.224,[26/Dec/2017:06:45:37,GET /data/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.105.16.18,[18/Jan/2018:02:09:36,GET /home/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.166.50.195,[23/Dec/2017:15:22:20,GET /data/user/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.42.49.220,[26/Dec/2017:15:14:45,POST /home/docs/user/?id=1; UNION FROM users;-- HTTP/1.1,200
10.79.254.239,[13/Feb/2018:03:23:57,GET /files/data/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.187.199.218,[29/Dec/2017:01:52:22,POST /data/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.28.10.77,[14/Dec/2017:15:25:54,POST /user/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.204.18.26,[04/Feb/2018:03:55:57,POST /docs/home/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.233.94.227,[03/Feb/2018:17:50:43,GET /home/data/data/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.220.157.58,[28/Jan/2018:20:18:52,POST /data/docs/data/files/?id=1; UNION FROM users;-- HTTP/1.1,200
10.146.17.97,[29/Jan/2018:01:39:41,POST /home/user/docs/user/?id=1; UNION FROM users;-- HTTP/1.1,200
10.94.145.226,[08/Jan/2018:09:09:43,GET /home/data/user/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.145.235.176,[17/Mar/2018:00:35:04,POST /docs/docs/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.136.10.34,[27/Mar/2018:07:38:25,POST /home/docs/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.241.31.25,[16/Dec/2017:02:56:43,GET /data/home/docs/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.54.77.196,[11/Jan/2018:23:55:41,GET /user/data/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.135.162.177,[10/Dec/2017:12:26:16,GET /home/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.244.193.4,[30/Dec/2017:12:55:05,GET /docs/docs/data/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.49.180.5,[16/Mar/2018:06:51:25,GET /docs/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.248.240.119,[01/Feb/2018:03:39:16,GET /data/?id=1; UNION FROM users;-- HTTP/1.1,302
10.251.134.155,[07/Nov/2017:01:54:19,GET /home/home/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.211.255.0,[19/Mar/2018:15:31:00,POST /data/files/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.36.237.17,[14/Jan/2018:10:26:28,GET /user/user/?id=1; UNION FROM users;-- HTTP/1.1,200
10.195.167.44,[20/Nov/2017:05:46:24,GET /data/data/home/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.134.203.98,[09/Feb/2018:14:11:40,GET /home/user/data/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.0.184.16,[16/Mar/2018:05:37:11,GET /files/home/home/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.116.110.117,[18/Jan/2018:11:00:19,POST /home/files/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.7.209.63,[25/Dec/2017:17:34:18,GET /home/user/?id=1; DROP FROM users;-- HTTP/1.1,302
10.133.172.9,[27/Jan/2018:18:33:16,POST /files/home/home/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.134.55.84,[17/Mar/2018:17:41:33,POST /user/?id=1; DROP FROM users;-- HTTP/1.1,200
10.235.253.88,[07/Nov/2017:08:05:41,GET /docs/docs/user/user/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.194.8.183,[20/Feb/2018:12:41:35,POST /files/data/home/?id=1; DROP FROM users;-- HTTP/1.1,200
10.147.98.58,[24/Dec/2017:20:44:06,POST /user/data/docs/data/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.89.193.130,[07/Nov/2017:18:05:59,POST /data/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.32.27.106,[01/Jan/2018:11:24:38,POST /user/docs/home/files/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.81.62.16,[05/Mar/2018:14:12:50,POST /files/docs/docs/files/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.76.197.91,[13/Nov/2017:21:16:56,GET /user/docs/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.200.209.236,[14/Jan/2018:03:56:08,GET /data/data/home/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.43.251.128,[10/Nov/2017:21:42:42,GET /docs/files/home/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.103.150.184,[19/Mar/2018:21:47:53,POST /files/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.58.235.159,[05/Jan/2018:06:32:21,POST /docs/home/files/user/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.254.7.28,[18/Feb/2018:02:52:48,POST /files/files/docs/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.83.83.153,[09/Nov/2017:11:30:09,GET /user/home/docs/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.114.237.148,[07/Jan/2018:13:46:51,POST /files/files/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.82.140.76,[20/Feb/2018:16:14:13,GET /data/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.146.53.152,[05/Nov/2017:10:23:23,GET /home/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.246.246.7,[28/Nov/2017:15:23:18,GET /files/user/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.135.224.141,[15/Jan/2018:12:44:07,GET /home/home/home/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.234.74.170,[13/Mar/2018:14:58:27,POST /docs/?id=1; DROP FROM users;-- HTTP/1.1,404
10.48.199.240,[09/Nov/2017:07:34:47,GET /user/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.12.91.137,[19/Mar/2018:16:11:18,POST /home/home/user/files/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.179.105.183,[21/Nov/2017:13:46:28,GET /docs/docs/home/docs/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.68.159.152,[22/Feb/2018:16:48:21,POST /files/files/data/?id=1; DROP FROM users;-- HTTP/1.1,200
10.95.253.122,[30/Mar/2018:23:19:50,POST /home/docs/home/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.196.255.156,[27/Jan/2018:22:31:17,POST /home/home/data/?id=1; DROP FROM users;-- HTTP/1.1,404
10.157.54.72,[06/Nov/2017:20:09:51,GET /user/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.15.42.102,[18/Dec/2017:08:00:55,GET /files/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.14.75.120,[02/Jan/2018:16:25:30,GET /docs/files/data/docs/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.246.118.226,[02/Jan/2018:20:28:57,GET /files/?id=1; UNION FROM users;-- HTTP/1.1,302
10.142.84.177,[10/Jan/2018:15:26:14,GET /user/user/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.80.55.91,[15/Jan/2018:03:14:40,POST /docs/docs/user/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.189.27.39,[19/Dec/2017:03:08:10,GET /docs/files/user/files/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.250.121.113,[14/Dec/2017:01:32:08,GET /files/data/?id=1; DROP FROM users;-- HTTP/1.1,404
10.99.157.95,[08/Jan/2018:15:32:02,POST /data/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.93.65.158,[10/Mar/2018:16:57:20,GET /data/files/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.100.211.122,[26/Jan/2018:12:45:56,GET /files/files/files/user/?id=1; DROP FROM users;-- HTTP/1.1,302
10.6.199.102,[04/Mar/2018:02:39:57,GET /user/docs/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.208.16.52,[09/Mar/2018:05:39:11,GET /files/data/docs/docs/?id=1; DROP FROM users;-- HTTP/1.1,200
10.72.203.218,[04/Dec/2017:06:20:30,GET /home/docs/user/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.16.163.65,[30/Jan/2018:18:21:29,GET /docs/data/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.36.88.124,[22/Jan/2018:01:56:27,GET /docs/files/user/data/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.146.54.28,[27/Jan/2018:19:20:00,GET /docs/home/docs/home/?id=1; UPDATE FROM users;-- HTTP/1.1,200
10.182.37.164,[30/Jan/2018:19:33:03,POST /user/files/user/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.47.133.13,[29/Jan/2018:09:43:44,POST /files/home/?id=1; UNION FROM users;-- HTTP/1.1,302
10.59.54.123,[03/Jan/2018:18:07:35,POST /docs/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.189.31.167,[08/Mar/2018:05:30:33,GET /files/files/user/?id=1; SELECT FROM users;-- HTTP/1.1,200
10.58.24.189,[18/Feb/2018:14:32:26,GET /docs/docs/data/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.238.134.249,[12/Dec/2017:10:47:34,POST /data/files/user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.192.199.159,[09/Jan/2018:09:23:53,GET /data/?id=1; UNION FROM users;-- HTTP/1.1,200
10.117.78.86,[21/Nov/2017:10:54:21,GET /docs/home/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.47.208.204,[30/Jan/2018:00:47:48,POST /files/home/docs/?id=1; DROP FROM users;-- HTTP/1.1,302
10.253.118.175,[09/Mar/2018:20:38:45,POST /files/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.148.0.187,[26/Nov/2017:20:50:56,GET /user/data/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.101.122.125,[21/Mar/2018:16:20:36,POST /files/docs/files/data/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.50.214.32,[27/Nov/2017:14:23:21,GET /docs/data/data/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.247.65.238,[27/Mar/2018:08:45:39,POST /home/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.203.193.41,[02/Jan/2018:12:05:16,GET /files/data/docs/user/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.108.205.132,[30/Dec/2017:19:08:41,GET /home/?id=1; DROP FROM users;-- HTTP/1.1,404
10.140.59.197,[22/Dec/2017:16:37:40,POST /home/files/data/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.82.118.108,[19/Dec/2017:18:56:42,GET /files/docs/?id=1; UNION FROM users;-- HTTP/1.1,302
10.226.1.147,[19/Dec/2017:19:07:19,POST /home/files/docs/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.114.142.96,[26/Mar/2018:22:12:34,POST /files/user/home/docs/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.116.140.31,[27/Dec/2017:12:50:20,POST /docs/home/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.85.133.179,[09/Jan/2018:05:34:11,POST /data/home/?id=1; SELECT FROM users;-- HTTP/1.1,404
10.253.38.138,[28/Jan/2018:14:02:31,GET /docs/files/home/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.27.211.156,[13/Mar/2018:05:26:22,POST /home/data/?id=1; UNION FROM users;-- HTTP/1.1,404
10.110.226.12,[16/Nov/2017:21:26:01,GET /docs/?id=1; UNION FROM users;-- HTTP/1.1,200
10.236.46.155,[16/Dec/2017:20:52:37,POST /docs/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.147.145.236,[24/Jan/2018:01:14:11,POST /data/docs/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.221.155.11,[27/Jan/2018:06:36:46,POST /files/data/?id=1; INSERT FROM users;-- HTTP/1.1,404
10.175.20.97,[08/Mar/2018:04:43:33,GET /docs/docs/?id=1; UPDATE FROM users;-- HTTP/1.1,404
10.91.211.107,[19/Feb/2018:07:26:10,POST /user/home/user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.108.161.191,[27/Mar/2018:03:37:43,POST /data/?id=1; INSERT FROM users;-- HTTP/1.1,302
10.248.65.126,[17/Dec/2017:16:20:00,GET /data/user/?id=1; UPDATE FROM users;-- HTTP/1.1,302
10.72.218.19,[05/Jan/2018:15:14:07,POST /user/user/files/data/?id=1; INSERT FROM users;-- HTTP/1.1,200
10.0.211.140,[17/Mar/2018:21:31:41,POST /files/docs/user/user/?id=1; DELETE FROM users;-- HTTP/1.1,404
10.225.197.87,[12/Mar/2018:22:57:14,GET /docs/user/docs/user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.227.70.66,[23/Mar/2018:18:24:52,GET /files/user/?id=1; DELETE FROM users;-- HTTP/1.1,200
10.73.30.218,[24/Jan/2018:20:35:59,GET /data/home/?id=1; UNION FROM users;-- HTTP/1.1,302
10.115.163.20,[23/Nov/2017:13:24:12,POST /home/?id=1; DROP FROM users;-- HTTP/1.1,404
10.190.14.196,[04/Nov/2017:15:04:12,GET /data/?id=1; DELETE FROM users;-- HTTP/1.1,302
10.147.31.132,[06/Jan/2018:07:56:13,GET /docs/user/user/files/?id=1; SELECT FROM users;-- HTTP/1.1,302
10.154.146.119,[14/Mar/2018:14:44:27,GET /data/user/home/?id=1; UNION FROM users;-- HTTP/1.1,200
